PhoneName,Price,RAM_ROM,Display,Battery,Processor,Stars,Ratings Count,Reviews Count
"Infinix SMART 8 HD (Crystal Green, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"14,286",947
"Apple iPhone 15 (Green, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,"14,286",947
"Infinix SMART 8 (Galaxy White, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 6020 Processor,4.3,"14,286",947
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 6020 Processor,4.3,"14,286",947
"Infinix SMART 8 HD (Galaxy White, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Galaxy White, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"POCO M6 5G - Locked with Airtel Prepaid (Galactic Black, 128 GB)","₹8,599",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"25,330","2,053"
"Apple iPhone 15 (Pink, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,"25,330","2,053"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"25,330","2,053"
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.3,"25,330","2,053"
"vivo T2 Pro 5G (Dune Gold, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4600 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.3,"25,330","2,053"
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.3,"25,330","2,053"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.3,"25,330","2,053"
"realme C53 (Champion Gold, 64 GB)","₹10,999",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"25,330","2,053"
"vivo T3 5G (Crystal Flake, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"vivo T3 5G (Cosmic Blue, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"vivo T3 5G (Crystal Flake, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"realme 12x 5G (Woodland Green, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.3,"25,330","2,053"
"realme 12x 5G (Twilight Purple, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.3,"25,330","2,053"
"POCO C65 (Matte Black, 256 GB)","₹8,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.3,"25,330","2,053"
"POCO M6 5G (Orion Blue, 256 GB)","₹11,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Rainbow Blue, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Rainbow Blue, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Shiny Gold, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Galaxy White, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Shiny Gold, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.3,"25,330","2,053"
"realme C51 (Mint Green, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,199",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1000 mAh Battery,SC6531E Processor,4.3,"78,537","3,497"
"realme C51 (Carbon Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
"REDMI 12 5G (Pastel Blue, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 (Timber Black, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 (Timber Black, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"78,537","3,497"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,249",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1000 mAh Battery,SC6531E Processor,4.3,"78,537","3,497"
"Motorola g54 5G (Mint Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,Dimensity 7020 Processor,4.3,"78,537","3,497"
"OnePlus Nord CE4 (Dark Chrome, 256 GB)","₹26,723",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,5500 mAh Battery,OxygenOS 14.0 Processor,4.3,"78,537","3,497"
"POCO C65 (Pastel Blue, 256 GB)","₹8,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.3,"78,537","3,497"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 HD (Crystal Green, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"78,537","3,497"
